SubjectID,Group,Pre_Trap,Pre_Boundary,Pre_Scaffold,Pre_Iterative,Pre_Sovereignty,Pre_TII_Total,Pre_General_CT,Pre_AI_Dependence,Pre_MAI,Post_Trap,Post_Boundary,Post_Scaffold,Post_Iterative,Post_Sovereignty,Post_TII_Total,Post_General_CT,Post_AI_Dependence,Post_MAI,Gain_Trap,Gain_Boundary,Gain_Scaffold,Gain_Iterative,Gain_Sovereignty,Gain_TII_Total,Gain_General_CT,Gain_AI_Dependence,Gain_MAI,Transfer_Error_Detection_Raw,Transfer_Error_Detection_Rate,Transfer_Offloading_Raw,Transfer_Offloading_Rate,Behavior_Offloading_Raw,Behavior_Offloading_Rate
56,CTI,16,14,17,15,19,81,53,62,42,16,12,21,17,16,82,66,47,55,0,-2,4,2,-3,1,13,-15,13,9,0.9,7,0.7,5,0.25
57,CTI,17,16,17,16,13,79,22,57,46,15,18,23,18,13,87,25,50,46,-2,2,6,2,0,8,3,-7,0,7,0.7,6,0.6,1,0.05
58,No_Intervention,13,16,16,12,17,74,48,60,40,13,16,17,11,12,69,56,60,39,0,0,1,-1,-5,-5,8,0,-1,2,0.2,3,0.3,12,0.6
59,CTI,15,15,16,19,16,81,47,70,39,19,17,18,22,19,95,44,52,53,4,2,2,3,3,14,-3,-18,14,5,0.5,10,1.0,4,0.2
60,No_Intervention,14,18,18,12,17,79,54,65,23,16,20,20,13,19,88,46,62,19,2,2,2,1,2,9,-8,-3,-4,2,0.2,3,0.3,13,0.65
61,CTI,17,11,15,17,17,77,50,70,36,26,15,18,21,17,97,52,67,56,9,4,3,4,0,20,2,-3,20,8,0.8,6,0.6,6,0.3
62,No_Intervention,17,12,15,14,16,74,63,54,42,17,10,13,15,17,72,66,55,39,0,-2,-2,1,1,-2,3,1,-3,4,0.4,1,0.1,14,0.7
63,Active_Control,16,20,13,17,13,79,65,40,33,11,20,15,16,15,77,59,38,33,-5,0,2,-1,2,-2,-6,-2,0,4,0.4,4,0.4,9,0.45
64,Active_Control,18,14,13,15,19,79,49,58,38,21,13,13,22,17,86,51,58,42,3,-1,0,7,-2,7,2,0,4,5,0.5,3,0.3,12,0.6
65,Active_Control,22,17,18,13,15,85,31,45,54,20,17,19,13,18,87,37,50,55,-2,0,1,0,3,2,6,5,1,4,0.4,6,0.6,10,0.5
66,CTI,13,14,13,17,18,75,16,36,38,17,19,26,17,21,100,14,22,52,4,5,13,0,3,25,-2,-14,14,8,0.8,8,0.8,6,0.3
67,No_Intervention,15,17,16,15,18,81,47,61,44,17,19,16,13,16,81,47,64,48,2,2,0,-2,-2,0,0,3,4,4,0.4,0,0.0,12,0.6
68,CTI,16,14,14,17,15,76,58,55,40,20,15,17,20,17,89,66,44,42,4,1,3,3,2,13,8,-11,2,7,0.7,9,0.9,5,0.25
69,CTI,16,16,20,14,17,83,48,47,49,21,19,20,12,22,94,58,29,57,5,3,0,-2,5,11,10,-18,8,8,0.8,8,0.8,4,0.2
70,CTI,17,14,14,15,14,74,42,47,55,20,15,19,16,21,91,48,24,66,3,1,5,1,7,17,6,-23,11,10,1.0,6,0.6,4,0.2
71,No_Intervention,17,14,13,18,17,79,41,70,36,15,14,12,15,18,74,47,64,42,-2,0,-1,-3,1,-5,6,-6,6,4,0.4,1,0.1,16,0.8
72,No_Intervention,14,16,16,14,17,77,47,35,57,12,18,14,16,18,78,48,34,60,-2,2,-2,2,1,1,1,-1,3,5,0.5,1,0.1,9,0.45
73,Active_Control,16,15,16,19,17,83,50,55,35,19,15,20,17,14,85,51,51,33,3,0,4,-2,-3,2,1,-4,-2,2,0.2,4,0.4,10,0.5
74,CTI,18,17,13,15,14,77,38,65,45,19,19,14,17,17,86,41,51,48,1,2,1,2,3,9,3,-14,3,7,0.7,8,0.8,6,0.3
75,Active_Control,16,15,17,14,17,79,33,41,42,22,18,18,12,19,89,37,38,44,6,3,1,-2,2,10,4,-3,2,6,0.6,4,0.4,10,0.5
76,Active_Control,16,18,16,16,18,84,62,58,40,20,21,12,22,20,95,70,55,43,4,3,-4,6,2,11,8,-3,3,6,0.6,5,0.5,10,0.5
77,Active_Control,20,14,19,16,17,86,38,66,50,19,12,14,12,16,73,41,64,59,-1,-2,-5,-4,-1,-13,3,-2,9,3,0.3,3,0.3,7,0.35
78,Active_Control,15,11,14,12,16,68,62,40,62,11,10,10,14,27,72,71,42,62,-4,-1,-4,2,11,4,9,2,0,2,0.2,6,0.6,11,0.55
79,No_Intervention,14,20,14,13,15,76,65,54,27,16,22,9,13,17,77,59,58,25,2,2,-5,0,2,1,-6,4,-2,3,0.3,1,0.1,10,0.5
80,CTI,19,18,14,12,18,81,65,47,46,23,21,21,13,21,99,65,34,54,4,3,7,1,3,18,0,-13,8,7,0.7,6,0.6,6,0.3
81,CTI,14,16,17,16,16,79,59,70,46,17,20,23,21,20,101,61,61,48,3,4,6,5,4,22,2,-9,2,9,0.9,6,0.6,3,0.15
82,No_Intervention,15,18,18,15,16,82,49,39,35,20,21,20,18,14,93,46,33,38,5,3,2,3,-2,11,-3,-6,3,2,0.2,4,0.4,13,0.65
83,CTI,16,17,16,17,14,80,33,41,43,20,21,23,23,17,104,38,19,46,4,4,7,6,3,24,5,-22,3,8,0.8,8,0.8,7,0.35
84,No_Intervention,17,12,17,14,16,76,59,57,54,15,9,15,9,16,64,59,58,49,-2,-3,-2,-5,0,-12,0,1,-5,4,0.4,4,0.4,12,0.6
85,CTI,16,14,11,17,16,74,56,24,64,17,18,16,20,21,92,71,10,70,1,4,5,3,5,18,15,-14,6,8,0.8,8,0.8,5,0.25
86,CTI,17,14,15,17,17,80,30,67,38,16,16,19,19,21,91,27,36,39,-1,2,4,2,4,11,-3,-31,1,7,0.7,8,0.8,4,0.2
87,No_Intervention,16,13,13,17,14,73,52,57,13,21,15,13,14,16,79,50,63,18,5,2,0,-3,2,6,-2,6,5,1,0.1,3,0.3,10,0.5
88,Active_Control,18,16,13,17,19,83,54,70,39,21,18,13,16,17,85,68,58,35,3,2,0,-1,-2,2,14,-12,-4,7,0.7,5,0.5,9,0.45
89,CTI,16,16,19,18,16,85,65,38,29,16,20,27,22,17,102,66,28,35,0,4,8,4,1,17,1,-10,6,6,0.6,9,0.9,5,0.25
90,CTI,17,16,17,14,16,80,37,51,39,21,20,22,16,20,99,46,54,42,4,4,5,2,4,19,9,3,3,8,0.8,5,0.5,2,0.1
91,CTI,18,13,18,17,13,79,49,40,34,20,16,16,12,17,81,55,13,42,2,3,-2,-5,4,2,6,-27,8,8,0.8,8,0.8,4,0.2
92,Active_Control,11,12,16,13,19,71,76,63,41,12,13,16,9,18,68,72,64,42,1,1,0,-4,-1,-3,-4,1,1,3,0.3,3,0.3,11,0.55
93,Active_Control,16,14,15,15,17,77,40,38,25,17,17,11,20,11,76,45,30,31,1,3,-4,5,-6,-1,5,-8,6,6,0.6,3,0.3,10,0.5
94,CTI,16,16,13,18,15,78,38,58,25,20,17,16,21,19,93,54,58,35,4,1,3,3,4,15,16,0,10,8,0.8,10,1.0,2,0.1
95,CTI,15,19,13,16,16,79,35,30,51,18,17,16,19,17,87,36,15,54,3,-2,3,3,1,8,1,-15,3,10,1.0,8,0.8,3,0.15
96,Active_Control,14,18,14,18,18,82,34,70,41,9,25,12,17,14,77,31,69,40,-5,7,-2,-1,-4,-5,-3,-1,-1,5,0.5,3,0.3,15,0.75
97,CTI,16,16,14,14,16,76,43,45,42,17,20,14,16,20,87,54,24,45,1,4,0,2,4,11,11,-21,3,7,0.7,6,0.6,4,0.2
98,Active_Control,17,14,20,16,15,82,63,64,56,19,18,19,17,17,90,63,61,53,2,4,-1,1,2,8,0,-3,-3,5,0.5,5,0.5,11,0.55
99,Active_Control,11,16,12,17,17,73,25,56,34,4,16,11,16,17,64,20,58,37,-7,0,-1,-1,0,-9,-5,2,3,5,0.5,2,0.2,9,0.45
100,No_Intervention,19,13,15,17,10,74,40,48,55,19,12,12,18,8,69,41,53,59,0,-1,-3,1,-2,-5,1,5,4,2,0.2,2,0.2,12,0.6
101,CTI,16,11,15,16,16,74,68,46,36,18,18,26,13,23,98,72,23,48,2,7,11,-3,7,24,4,-23,12,7,0.7,8,0.8,5,0.25
102,Active_Control,18,15,14,15,15,77,49,12,54,21,16,17,10,9,73,43,12,57,3,1,3,-5,-6,-4,-6,0,3,6,0.6,5,0.5,10,0.5
103,No_Intervention,19,15,14,19,17,84,54,70,47,18,16,16,18,17,85,52,68,50,-1,1,2,-1,0,1,-2,-2,3,2,0.2,2,0.2,11,0.55
104,Active_Control,13,17,14,17,19,80,59,67,38,14,16,18,19,17,84,59,64,39,1,-1,4,2,-2,4,0,-3,1,6,0.6,5,0.5,7,0.35
105,CTI,17,18,16,19,20,90,42,57,34,18,20,16,18,25,97,45,39,31,1,2,0,-1,5,7,3,-18,-3,9,0.9,7,0.7,6,0.3
106,Active_Control,17,14,10,16,15,72,47,46,44,16,16,11,19,17,79,48,52,43,-1,2,1,3,2,7,1,6,-1,5,0.5,5,0.5,9,0.45
107,No_Intervention,15,17,16,14,18,80,56,53,36,11,17,16,4,15,63,62,49,27,-4,0,0,-10,-3,-17,6,-4,-9,2,0.2,1,0.1,7,0.35
108,Active_Control,15,17,14,18,15,79,61,55,46,8,20,14,14,18,74,66,52,49,-7,3,0,-4,3,-5,5,-3,3,3,0.3,4,0.4,12,0.6
109,CTI,17,13,14,16,17,77,51,70,31,21,16,20,19,26,102,56,60,36,4,3,6,3,9,25,5,-10,5,8,0.8,10,1.0,1,0.05
110,No_Intervention,16,16,15,15,16,78,64,58,43,17,19,19,17,18,90,66,70,36,1,3,4,2,2,12,2,12,-7,1,0.1,5,0.5,13,0.65
111,No_Intervention,15,18,16,17,15,81,79,61,15,22,19,21,18,16,96,77,63,20,7,1,5,1,1,15,-2,2,5,3,0.3,2,0.2,11,0.55
112,CTI,17,15,18,16,15,81,51,36,29,17,20,16,13,25,91,51,18,40,0,5,-2,-3,10,10,0,-18,11,6,0.6,9,0.9,6,0.3
113,No_Intervention,15,14,17,14,15,75,11,38,43,18,13,16,14,18,79,14,33,52,3,-1,-1,0,3,4,3,-5,9,3,0.3,2,0.2,13,0.65
114,Active_Control,16,13,18,15,16,78,36,40,36,17,15,18,16,19,85,40,46,42,1,2,0,1,3,7,4,6,6,5,0.5,6,0.6,7,0.35
115,Active_Control,14,18,13,18,17,80,46,59,61,9,22,13,17,16,77,40,59,53,-5,4,0,-1,-1,-3,-6,0,-8,3,0.3,3,0.3,9,0.45
116,No_Intervention,21,15,12,13,17,78,44,47,32,18,19,5,15,18,75,52,44,32,-3,4,-7,2,1,-3,8,-3,0,1,0.1,3,0.3,9,0.45
117,CTI,19,17,14,16,13,79,58,70,49,26,21,18,21,16,102,63,58,57,7,4,4,5,3,23,5,-12,8,7,0.7,6,0.6,4,0.2
118,No_Intervention,14,19,17,13,14,77,61,70,25,11,17,22,13,20,83,65,67,28,-3,-2,5,0,6,6,4,-3,3,3,0.3,2,0.2,11,0.55
119,No_Intervention,15,14,13,15,17,74,51,45,40,22,13,15,14,20,84,54,49,49,7,-1,2,-1,3,10,3,4,9,2,0.2,1,0.1,11,0.55
120,Active_Control,16,13,14,16,15,74,47,38,30,20,13,14,13,21,81,49,24,33,4,0,0,-3,6,7,2,-14,3,5,0.5,5,0.5,9,0.45
121,CTI,20,14,16,14,18,82,49,33,41,20,13,18,16,23,90,49,12,43,0,-1,2,2,5,8,0,-21,2,5,0.5,8,0.8,5,0.25
122,Active_Control,17,15,18,16,20,86,56,60,53,17,15,20,17,24,93,65,51,55,0,0,2,1,4,7,9,-9,2,4,0.4,2,0.2,6,0.3
123,No_Intervention,20,20,15,17,19,91,63,70,36,23,20,10,13,20,86,68,70,40,3,0,-5,-4,1,-5,5,0,4,2,0.2,5,0.5,11,0.55
124,No_Intervention,12,14,18,18,13,75,62,70,39,10,17,21,16,13,77,71,70,36,-2,3,3,-2,0,2,9,0,-3,1,0.1,1,0.1,12,0.6
125,Active_Control,13,15,13,16,16,73,58,20,45,11,15,13,21,9,69,66,21,48,-2,0,0,5,-7,-4,8,1,3,4,0.4,3,0.3,10,0.5
126,No_Intervention,15,16,16,18,17,82,48,59,24,13,15,15,16,20,79,43,53,25,-2,-1,-1,-2,3,-3,-5,-6,1,4,0.4,0,0.0,12,0.6
127,Active_Control,19,16,18,13,18,84,37,16,42,23,23,17,20,13,96,38,10,47,4,7,-1,7,-5,12,1,-6,5,7,0.7,3,0.3,8,0.4
128,CTI,12,14,18,18,15,77,61,24,59,11,13,19,19,15,77,68,10,58,-1,-1,1,1,0,0,7,-14,-1,7,0.7,8,0.8,7,0.35
129,No_Intervention,13,14,19,13,17,76,45,70,42,13,13,22,11,19,78,46,70,42,0,-1,3,-2,2,2,1,0,0,4,0.4,4,0.4,10,0.5
130,No_Intervention,17,16,16,15,14,78,50,58,39,14,15,19,13,11,72,45,52,43,-3,-1,3,-2,-3,-6,-5,-6,4,3,0.3,1,0.1,14,0.7
131,Active_Control,17,13,17,19,20,86,70,42,48,12,17,17,23,27,96,75,37,46,-5,4,0,4,7,10,5,-5,-2,7,0.7,3,0.3,8,0.4
132,Active_Control,17,14,18,16,14,79,31,58,39,23,11,18,12,13,77,36,55,37,6,-3,0,-4,-1,-2,5,-3,-2,4,0.4,3,0.3,13,0.65
133,No_Intervention,15,13,17,19,18,82,21,48,33,14,13,20,18,23,88,22,46,41,-1,0,3,-1,5,6,1,-2,8,6,0.6,3,0.3,12,0.6
134,Active_Control,18,13,12,15,17,75,67,29,53,23,14,12,13,12,74,70,25,57,5,1,0,-2,-5,-1,3,-4,4,1,0.1,5,0.5,8,0.4
135,No_Intervention,17,14,16,17,17,81,43,70,33,18,16,15,25,20,94,37,70,41,1,2,-1,8,3,13,-6,0,8,2,0.2,2,0.2,12,0.6
136,Active_Control,18,14,19,15,17,83,54,36,47,16,8,22,16,18,80,59,26,45,-2,-6,3,1,1,-3,5,-10,-2,4,0.4,3,0.3,11,0.55
137,No_Intervention,21,18,13,16,13,81,37,54,53,23,16,14,18,11,82,34,51,60,2,-2,1,2,-2,1,-3,-3,7,3,0.3,1,0.1,10,0.5
138,Active_Control,16,16,16,14,13,75,38,44,49,13,13,17,19,15,77,37,37,49,-3,-3,1,5,2,2,-1,-7,0,5,0.5,4,0.4,11,0.55
139,Active_Control,12,14,13,15,14,68,35,28,53,8,9,9,19,12,57,31,20,55,-4,-5,-4,4,-2,-11,-4,-8,2,3,0.3,7,0.7,8,0.4
140,Active_Control,18,15,15,8,15,71,56,54,31,16,16,17,13,16,78,58,51,32,-2,1,2,5,1,7,2,-3,1,3,0.3,3,0.3,8,0.4
141,No_Intervention,18,18,19,16,21,92,52,21,49,11,17,24,18,16,86,48,15,50,-7,-1,5,2,-5,-6,-4,-6,1,2,0.2,3,0.3,10,0.5
142,Active_Control,15,21,19,13,13,81,52,39,37,15,20,20,7,9,71,50,35,46,0,-1,1,-6,-4,-10,-2,-4,9,4,0.4,4,0.4,7,0.35
143,CTI,18,14,16,13,13,74,34,59,45,22,14,19,20,12,87,40,34,50,4,0,3,7,-1,13,6,-25,5,6,0.6,7,0.7,2,0.1
144,CTI,16,13,16,18,11,74,46,57,41,26,20,19,14,16,95,47,48,49,10,7,3,-4,5,21,1,-9,8,8,0.8,8,0.8,3,0.15
145,Active_Control,16,17,18,18,18,87,55,48,26,17,24,8,8,21,78,58,49,26,1,7,-10,-10,3,-9,3,1,0,4,0.4,7,0.7,11,0.55
146,CTI,15,14,15,12,19,75,35,46,34,15,17,14,15,21,82,40,31,38,0,3,-1,3,2,7,5,-15,4,8,0.8,8,0.8,10,0.5
147,No_Intervention,18,16,16,11,16,77,35,58,40,13,19,13,15,20,80,35,56,35,-5,3,-3,4,4,3,0,-2,-5,3,0.3,3,0.3,16,0.8
148,CTI,11,13,14,15,16,69,59,46,49,10,12,12,22,21,77,61,24,67,-1,-1,-2,7,5,8,2,-22,18,8,0.8,7,0.7,6,0.3
149,Active_Control,13,10,14,17,13,67,61,61,18,7,9,16,16,13,61,63,57,20,-6,-1,2,-1,0,-6,2,-4,2,2,0.2,3,0.3,10,0.5
150,CTI,13,18,13,15,15,74,34,47,46,11,16,13,15,11,66,50,41,42,-2,-2,0,0,-4,-8,16,-6,-4,9,0.9,8,0.8,4,0.2
151,No_Intervention,16,14,17,14,20,81,42,47,25,18,12,21,16,26,93,45,47,25,2,-2,4,2,6,12,3,0,0,5,0.5,2,0.2,12,0.6
152,No_Intervention,13,16,15,15,17,76,41,70,43,11,14,12,15,18,70,48,70,44,-2,-2,-3,0,1,-6,7,0,1,4,0.4,1,0.1,12,0.6
153,Active_Control,18,12,18,15,17,80,58,36,50,25,7,23,11,17,83,61,29,49,7,-5,5,-4,0,3,3,-7,-1,2,0.2,5,0.5,9,0.45
154,CTI,19,16,13,17,20,85,46,52,55,23,18,16,23,26,106,47,39,61,4,2,3,6,6,21,1,-13,6,8,0.8,7,0.7,3,0.15
155,Active_Control,13,11,16,16,16,72,47,37,48,14,10,16,16,11,67,54,41,50,1,-1,0,0,-5,-5,7,4,2,5,0.5,4,0.4,10,0.5
156,No_Intervention,17,13,14,13,17,74,60,41,37,17,12,18,9,10,66,55,43,38,0,-1,4,-4,-7,-8,-5,2,1,1,0.1,3,0.3,10,0.5
157,Active_Control,17,20,15,17,17,86,44,32,44,16,26,19,19,14,94,41,29,47,-1,6,4,2,-3,8,-3,-3,3,5,0.5,3,0.3,10,0.5
158,CTI,15,17,11,19,15,77,77,24,27,20,24,15,21,20,100,93,10,35,5,7,4,2,5,23,16,-14,8,6,0.6,9,0.9,3,0.15
159,No_Intervention,16,10,18,14,17,75,41,45,47,16,11,12,8,11,58,40,35,55,0,1,-6,-6,-6,-17,-1,-10,8,2,0.2,3,0.3,11,0.55
160,CTI,16,17,15,17,22,87,42,46,54,18,17,13,17,27,92,46,24,60,2,0,-2,0,5,5,4,-22,6,7,0.7,5,0.5,3,0.15
