SubjectID,Wave,Time,Trap,Boundary,Scaffold,Iterative,Sovereignty,Defense,Construction,TII_Total,General_CT,AI_Use_Frequency_Raw,AI_Use_Frequency_Rate,Academic_Self_Efficacy,Prior_AI_Experience,Discipline,Institutional_AI_Policy
13,2,2,18,16,19,16,14,34,35,83,57,26,52.0,28,0,Humanities,0
13,3,3,18,16,19,15,15,34,34,83,71,24,48.0,28,0,Humanities,0
13,4,4,22,18,21,18,19,40,39,98,73,28,56.0,28,0,Humanities,0
14,1,1,16,9,16,15,9,25,31,65,60,15,30.0,12,0,STEM,1
14,2,2,15,9,19,18,11,24,37,72,60,13,26.0,12,0,STEM,1
14,3,3,21,12,19,19,12,33,38,83,61,16,32.0,13,0,STEM,1
14,4,4,18,10,23,23,10,28,46,84,60,18,36.0,11,0,STEM,1
15,1,1,14,8,11,14,15,22,25,62,70,27,54.0,17,0,Humanities,0
15,2,2,19,11,14,17,15,30,31,76,76,26,52.0,20,0,Humanities,0
15,3,3,27,14,15,19,16,41,34,91,78,25,50.0,17,0,Humanities,0
15,4,4,25,13,16,20,14,38,36,88,77,24,48.0,14,0,Humanities,0
16,1,1,21,7,15,11,16,28,26,70,57,9,18.0,18,0,Humanities,1
16,2,2,24,7,17,11,14,31,28,73,59,15,30.0,21,0,Humanities,1
16,3,3,22,7,22,15,14,29,37,80,68,21,42.0,17,0,Humanities,1
16,4,4,27,8,23,16,14,35,39,88,66,28,56.0,18,0,Humanities,1
17,1,1,15,13,12,14,18,28,26,72,63,26,52.0,12,1,STEM,0
17,2,2,18,15,11,13,19,33,24,76,71,33,66.0,17,1,STEM,0
17,3,3,16,13,18,20,20,29,38,87,65,25,50.0,16,1,STEM,0
17,4,4,19,15,17,19,18,34,36,88,68,28,56.0,15,1,STEM,0
18,1,1,22,7,16,7,17,29,23,69,49,31,62.0,11,0,STEM,1
18,2,2,21,7,21,9,20,28,30,78,62,22,44.0,11,0,STEM,1
18,3,3,26,8,28,14,16,34,42,92,57,33,66.0,14,0,STEM,1
18,4,4,28,11,24,11,17,39,35,91,68,28,56.0,16,0,STEM,1
19,1,1,12,15,10,13,12,27,23,62,48,20,40.0,22,0,STEM,0
19,2,2,11,14,9,12,10,25,21,56,44,19,38.0,20,0,STEM,0
19,3,3,16,19,11,13,10,35,24,69,49,25,50.0,27,0,STEM,0
19,4,4,16,20,16,19,11,36,35,82,59,19,38.0,21,0,STEM,0
20,1,1,13,13,9,14,19,26,23,68,59,22,44.0,28,0,Arts,1
20,2,2,14,14,13,20,16,28,33,77,66,29,58.0,24,0,Arts,1
20,3,3,15,14,16,25,22,29,41,92,61,28,56.0,26,0,Arts,1
20,4,4,17,16,20,28,21,33,48,102,68,28,56.0,28,0,Arts,1
21,1,1,15,16,22,16,17,31,38,86,81,37,74.0,20,0,STEM,0
21,2,2,17,18,20,14,20,35,34,89,88,40,80.0,20,0,STEM,0
21,3,3,20,21,17,12,18,41,29,88,90,43,86.0,15,0,STEM,0
21,4,4,19,20,15,12,19,39,27,85,95,50,100.0,18,0,STEM,0
22,1,1,16,10,13,12,15,26,25,66,72,19,38.0,15,0,Humanities,0
22,2,2,20,11,18,16,18,31,34,83,73,21,42.0,13,0,Humanities,0
22,3,3,22,12,20,18,16,34,38,88,76,21,42.0,12,0,Humanities,0
22,4,4,25,14,18,15,19,39,33,91,83,27,54.0,13,0,Humanities,0
23,1,1,12,19,16,15,13,31,31,75,64,10,20.0,13,1,STEM,1
23,2,2,13,20,19,18,14,33,37,84,68,20,40.0,10,1,STEM,1
23,3,3,12,19,17,16,14,31,33,78,64,17,34.0,14,1,STEM,1
23,4,4,14,21,21,19,14,35,40,89,66,22,44.0,12,1,STEM,1
24,1,1,19,8,18,12,11,27,30,68,66,29,58.0,23,0,STEM,1
24,2,2,20,9,19,12,11,29,31,71,64,42,84.0,17,0,STEM,1
24,3,3,28,15,19,12,14,43,31,88,67,44,88.0,16,0,STEM,1
24,4,4,28,14,24,15,12,42,39,93,68,44,88.0,18,0,STEM,1
25,1,1,14,16,14,14,15,30,28,73,66,35,70.0,22,0,Humanities,1
25,2,2,13,15,17,17,16,28,34,78,63,41,82.0,23,0,Humanities,1
25,3,3,14,16,21,20,16,30,41,87,59,33,66.0,22,0,Humanities,1
25,4,4,14,15,24,23,16,29,47,92,65,35,70.0,21,0,Humanities,1
26,1,1,12,12,11,5,21,24,16,61,76,20,40.0,22,0,STEM,0
26,2,2,16,15,17,9,17,31,26,74,64,28,56.0,16,0,STEM,0
26,3,3,15,14,17,8,18,29,25,72,75,24,48.0,21,0,STEM,0
26,4,4,14,14,24,12,17,28,36,81,76,30,60.0,19,0,STEM,0
27,1,1,9,13,13,17,21,22,30,73,50,30,60.0,21,1,Arts,1
27,2,2,12,18,12,16,23,30,28,81,54,38,76.0,20,1,Arts,1
27,3,3,12,18,12,17,20,30,29,79,52,37,74.0,16,1,Arts,1
27,4,4,13,20,12,17,22,33,29,84,65,37,74.0,19,1,Arts,1
28,1,1,14,16,18,17,18,30,35,83,73,29,58.0,16,0,Arts,1
28,2,2,17,19,15,15,20,36,30,86,79,39,78.0,17,0,Arts,1
28,3,3,17,20,17,16,22,37,33,92,78,34,68.0,17,0,Arts,1
28,4,4,17,19,16,15,19,36,31,86,77,40,80.0,11,0,Arts,1
29,1,1,12,14,17,16,13,26,33,72,68,22,44.0,15,0,STEM,0
29,2,2,13,17,19,19,16,30,38,84,77,15,30.0,12,0,STEM,0
29,3,3,14,18,21,20,13,32,41,86,76,23,46.0,15,0,STEM,0
29,4,4,15,19,20,20,13,34,40,87,77,19,38.0,16,0,STEM,0
30,1,1,14,11,18,12,9,25,30,64,73,18,36.0,24,1,STEM,1
30,2,2,16,14,19,13,11,30,32,73,71,21,42.0,21,1,STEM,1
30,3,3,19,16,19,13,14,35,32,81,85,26,52.0,19,1,STEM,1
30,4,4,20,17,28,19,13,37,47,97,73,30,60.0,17,1,STEM,1
31,1,1,23,6,8,19,14,29,27,70,63,31,62.0,24,0,STEM,1
31,2,2,23,6,7,17,16,29,24,69,78,32,64.0,23,0,STEM,1
31,3,3,25,7,9,22,15,32,31,78,66,28,56.0,19,0,STEM,1
31,4,4,23,6,10,24,17,29,34,80,70,36,72.0,21,0,STEM,1
32,1,1,28,8,26,10,10,36,36,82,67,32,64.0,14,1,STEM,1
32,2,2,26,7,24,8,12,33,32,77,68,43,86.0,12,1,STEM,1
32,3,3,28,15,22,8,8,43,30,81,70,32,64.0,11,1,STEM,1
32,4,4,28,15,28,11,11,43,39,93,65,39,78.0,13,1,STEM,1
33,1,1,19,8,12,12,18,27,24,69,69,26,52.0,25,0,Humanities,1
33,2,2,23,10,14,14,15,33,28,76,70,28,56.0,23,0,Humanities,1
33,3,3,20,9,8,8,19,29,16,64,67,38,76.0,26,0,Humanities,1
33,4,4,23,10,15,16,18,33,31,82,70,38,76.0,22,0,Humanities,1
34,1,1,6,21,8,9,14,27,17,58,69,16,32.0,24,1,Humanities,0
34,2,2,6,21,14,15,16,27,29,72,77,16,32.0,22,1,Humanities,0
34,3,3,7,21,10,11,14,28,21,63,75,19,38.0,18,1,Humanities,0
34,4,4,6,21,19,20,16,27,39,82,77,21,42.0,20,1,Humanities,0
35,1,1,16,14,7,26,14,30,33,77,57,37,74.0,21,0,Arts,1
35,2,2,17,16,6,23,14,33,29,76,65,38,76.0,23,0,Arts,1
35,3,3,19,17,8,28,10,36,36,82,64,47,94.0,25,0,Arts,1
35,4,4,21,20,6,21,12,41,27,80,69,50,100.0,21,0,Arts,1
36,1,1,8,16,14,13,8,24,27,59,62,10,20.0,14,1,Humanities,1
36,2,2,8,17,15,14,12,25,29,66,63,22,44.0,15,1,Humanities,1
36,3,3,7,16,19,18,10,23,37,70,66,28,56.0,14,1,Humanities,1
36,4,4,9,20,24,21,11,29,45,85,64,32,64.0,13,1,Humanities,1
37,1,1,16,15,4,12,19,31,16,66,66,15,30.0,11,0,Arts,1
37,2,2,14,12,5,20,16,26,25,67,73,23,46.0,13,0,Arts,1
37,3,3,16,14,6,25,15,30,31,76,66,23,46.0,12,0,Arts,1
37,4,4,17,16,7,28,17,33,35,85,69,22,44.0,13,0,Arts,1
38,1,1,10,13,9,16,13,23,25,61,80,21,42.0,15,1,Humanities,0
38,2,2,10,15,13,22,16,25,35,76,82,31,62.0,18,1,Humanities,0
38,3,3,10,15,14,22,14,25,36,75,84,28,56.0,18,1,Humanities,0
38,4,4,11,16,14,23,14,27,37,78,83,36,72.0,17,1,Humanities,0
39,1,1,11,10,8,14,12,21,22,55,53,28,56.0,20,1,STEM,0
39,2,2,15,13,11,20,12,28,31,71,61,38,76.0,20,1,STEM,0
39,3,3,15,14,13,23,13,29,36,78,56,36,72.0,17,1,STEM,0
39,4,4,15,13,15,26,12,28,41,81,58,33,66.0,18,1,STEM,0
40,1,1,24,6,9,14,5,30,23,58,49,25,50.0,27,0,STEM,0
40,2,2,25,7,11,17,7,32,28,67,58,33,66.0,23,0,STEM,0
40,3,3,27,7,14,21,10,34,35,79,52,37,74.0,23,0,STEM,0
40,4,4,21,6,18,27,5,27,45,77,53,35,70.0,27,0,STEM,0
41,1,1,20,14,14,11,15,34,25,74,66,24,48.0,21,0,STEM,1
41,2,2,21,15,13,9,15,36,22,73,69,32,64.0,21,0,STEM,1
41,3,3,21,14,17,13,16,35,30,81,69,38,76.0,24,0,STEM,1
41,4,4,19,13,14,10,13,32,24,69,77,35,70.0,17,0,STEM,1
42,1,1,11,15,15,15,21,26,30,77,71,27,54.0,16,1,STEM,1
42,2,2,14,20,18,17,21,34,35,90,68,32,64.0,19,1,STEM,1
42,3,3,15,22,18,17,21,37,35,93,68,27,54.0,14,1,STEM,1
42,4,4,16,23,20,20,19,39,40,98,75,34,68.0,16,1,STEM,1
43,1,1,11,15,13,17,20,26,30,76,68,23,46.0,14,0,STEM,1
43,2,2,12,16,15,21,20,28,36,84,67,29,58.0,16,0,STEM,1
43,3,3,15,20,15,19,20,35,34,89,68,27,54.0,17,0,STEM,1
43,4,4,17,23,15,21,17,40,36,93,63,33,66.0,15,0,STEM,1
44,1,1,19,10,8,19,12,29,27,68,74,23,46.0,24,0,STEM,1
44,2,2,17,9,8,20,15,26,28,69,68,28,56.0,23,0,STEM,1
44,3,3,17,9,7,17,15,26,24,65,70,35,70.0,25,0,STEM,1
44,4,4,19,10,7,18,14,29,25,68,76,38,76.0,27,0,STEM,1
45,1,1,13,9,12,27,14,22,39,75,57,3,6.0,15,0,Humanities,1
45,2,2,13,9,9,21,11,22,30,63,65,8,16.0,13,0,Humanities,1
45,3,3,16,10,10,23,13,26,33,72,58,17,34.0,18,0,Humanities,1
45,4,4,13,8,11,27,14,21,38,73,66,21,42.0,13,0,Humanities,1
46,1,1,19,8,21,13,16,27,34,77,84,21,42.0,23,0,STEM,1
46,2,2,20,8,15,9,15,28,24,67,75,19,38.0,25,0,STEM,1
46,3,3,25,11,14,9,17,36,23,76,74,23,46.0,21,0,STEM,1
46,4,4,24,10,16,9,16,34,25,75,81,16,32.0,22,0,STEM,1
47,1,1,17,13,11,11,12,30,22,64,54,24,48.0,15,0,STEM,1
47,2,2,19,15,14,13,13,34,27,74,52,32,64.0,15,0,STEM,1
47,3,3,13,10,17,16,13,23,33,69,53,34,68.0,19,0,STEM,1
47,4,4,12,9,17,16,12,21,33,66,61,39,78.0,17,0,STEM,1
48,1,1,19,16,12,16,16,35,28,79,50,14,28.0,23,0,Arts,0
48,2,2,19,16,13,17,15,35,30,80,57,21,42.0,23,0,Arts,0
48,3,3,15,14,11,14,15,29,25,69,57,21,42.0,20,0,Arts,0
48,4,4,15,14,13,16,16,29,29,74,69,26,52.0,21,0,Arts,0
49,1,1,16,9,21,7,16,25,28,69,59,25,50.0,21,0,STEM,0
49,2,2,19,11,21,7,17,30,28,75,63,30,60.0,19,0,STEM,0
49,3,3,20,11,24,8,18,31,32,81,67,39,78.0,22,0,STEM,0
49,4,4,21,12,27,8,18,33,35,86,64,34,68.0,22,0,STEM,0
50,1,1,16,4,16,15,19,20,31,70,55,18,36.0,16,1,STEM,0
50,2,2,21,5,14,14,20,26,28,74,56,32,64.0,16,1,STEM,0
50,3,3,16,4,14,14,20,20,28,68,56,32,64.0,16,1,STEM,0
50,4,4,27,7,13,13,20,34,26,80,50,37,74.0,21,1,STEM,0
51,1,1,15,15,13,14,12,30,27,69,62,38,76.0,15,0,Humanities,0
51,2,2,17,16,17,17,14,33,34,81,69,31,62.0,17,0,Humanities,0
51,3,3,21,21,18,19,12,42,37,91,62,34,68.0,18,0,Humanities,0
51,4,4,19,19,16,16,13,38,32,83,62,31,62.0,19,0,Humanities,0
52,1,1,11,15,14,18,14,26,32,72,78,31,62.0,18,0,STEM,1
52,2,2,14,20,14,19,14,34,33,81,77,36,72.0,17,0,STEM,1
52,3,3,16,23,14,20,19,39,34,92,78,36,72.0,16,0,STEM,1
52,4,4,20,28,17,23,16,48,40,104,81,36,72.0,17,0,STEM,1
53,1,1,14,19,16,8,13,33,24,70,62,24,48.0,24,1,Humanities,1
53,2,2,14,19,17,9,12,33,26,71,68,19,38.0,17,1,Humanities,1
53,3,3,12,18,16,9,10,30,25,65,66,23,46.0,22,1,Humanities,1
53,4,4,14,20,18,10,14,34,28,76,65,29,58.0,19,1,Humanities,1
54,1,1,17,13,13,20,13,30,33,76,65,18,36.0,17,0,Humanities,1
54,2,2,19,14,15,21,14,33,36,83,68,23,46.0,19,0,Humanities,1
54,3,3,21,16,18,27,16,37,45,98,72,30,60.0,19,0,Humanities,1
54,4,4,19,14,21,28,10,33,49,92,68,29,58.0,20,0,Humanities,1
55,1,1,18,21,16,12,14,39,28,81,54,22,44.0,19,1,Humanities,1
55,2,2,18,22,19,13,15,40,32,87,55,26,52.0,18,1,Humanities,1
55,3,3,19,24,20,14,16,43,34,93,58,37,74.0,15,1,Humanities,1
55,4,4,17,20,25,19,16,37,44,97,61,42,84.0,16,1,Humanities,1
56,1,1,16,17,17,10,17,33,27,77,52,21,42.0,20,1,Arts,1
56,2,2,14,16,22,12,18,30,34,82,61,22,44.0,12,1,Arts,1
56,3,3,17,19,22,12,16,36,34,86,70,27,54.0,18,1,Arts,1
56,4,4,18,19,19,10,17,37,29,83,69,20,40.0,13,1,Arts,1
57,1,1,19,9,18,14,20,28,32,80,67,21,42.0,21,0,Arts,1
57,2,2,23,10,18,15,19,33,33,85,59,30,60.0,15,0,Arts,1
57,3,3,22,10,20,17,18,32,37,87,56,26,52.0,16,0,Arts,1
57,4,4,22,10,28,23,20,32,51,103,73,26,52.0,16,0,Arts,1
58,1,1,10,16,10,20,17,26,30,73,56,19,38.0,8,1,STEM,1
58,2,2,12,18,9,20,14,30,29,73,64,23,46.0,10,1,STEM,1
58,3,3,11,16,13,27,10,27,40,77,58,21,42.0,8,1,STEM,1
58,4,4,14,21,13,26,15,35,39,89,65,28,56.0,10,1,STEM,1
59,1,1,16,16,13,16,19,32,29,80,74,9,18.0,20,1,STEM,0
59,2,2,16,16,16,18,20,32,34,86,83,15,30.0,19,1,STEM,0
59,3,3,17,19,17,19,18,36,36,90,76,13,26.0,21,1,STEM,0
59,4,4,18,20,16,19,17,38,35,90,75,15,30.0,19,1,STEM,0
60,1,1,22,10,10,18,16,32,28,76,60,27,54.0,16,0,Arts,0
60,2,2,24,11,12,23,16,35,35,86,69,25,50.0,10,0,Arts,0
60,3,3,23,10,11,21,17,33,32,82,72,28,56.0,12,0,Arts,0
60,4,4,26,12,13,24,14,38,37,89,76,39,78.0,13,0,Arts,0
61,1,1,16,13,9,26,12,29,35,76,54,30,60.0,12,0,STEM,0
61,2,2,18,14,8,23,15,32,31,78,55,32,64.0,14,0,STEM,0
61,3,3,18,15,12,28,18,33,40,91,51,32,64.0,18,0,STEM,0
61,4,4,18,14,12,28,15,32,40,87,60,40,80.0,13,0,STEM,0
62,1,1,16,14,22,17,14,30,39,83,68,21,42.0,13,0,Humanities,0
62,2,2,17,15,24,19,14,32,43,89,68,13,26.0,8,0,Humanities,0
62,3,3,22,19,25,20,14,41,45,100,64,18,36.0,8,0,Humanities,0
62,4,4,19,16,27,21,17,35,48,100,69,23,46.0,9,0,Humanities,0
63,1,1,16,10,13,22,10,26,35,71,72,28,56.0,13,0,Humanities,1
63,2,2,18,12,13,21,8,30,34,72,72,32,64.0,10,0,Humanities,1
63,3,3,17,11,12,20,8,28,32,68,72,33,66.0,10,0,Humanities,1
63,4,4,17,11,15,25,12,28,40,80,75,36,72.0,9,0,Humanities,1
64,1,1,12,13,18,17,19,25,35,79,78,20,40.0,13,0,Humanities,1
64,2,2,15,15,17,16,17,30,33,80,75,20,40.0,14,0,Humanities,1
64,3,3,15,16,20,20,15,31,40,86,78,21,42.0,13,0,Humanities,1
64,4,4,14,15,19,19,18,29,38,85,78,24,48.0,12,0,Humanities,1
65,1,1,14,17,12,17,14,31,29,74,81,31,62.0,16,0,Humanities,0
65,2,2,15,19,12,18,19,34,30,83,79,26,52.0,15,0,Humanities,0
65,3,3,18,23,16,23,18,41,39,98,82,24,48.0,15,0,Humanities,0
65,4,4,15,20,13,19,21,35,32,88,89,27,54.0,15,0,Humanities,0
66,1,1,8,28,20,14,15,36,34,85,51,27,54.0,26,0,Humanities,0
66,2,2,8,27,18,12,15,35,30,80,63,29,58.0,24,0,Humanities,0
66,3,3,8,27,21,15,13,35,36,84,61,32,64.0,28,0,Humanities,0
66,4,4,8,28,23,16,14,36,39,89,64,38,76.0,24,0,Humanities,0
67,1,1,17,11,7,15,14,28,22,64,67,23,46.0,19,1,Humanities,0
67,2,2,18,12,7,16,14,30,23,67,58,28,56.0,16,1,Humanities,0
67,3,3,20,12,9,21,17,32,30,79,63,39,78.0,15,1,Humanities,0
67,4,4,23,14,10,23,15,37,33,85,68,48,96.0,17,1,Humanities,0
68,1,1,9,23,11,23,16,32,34,82,60,25,50.0,22,1,Humanities,1
68,2,2,10,26,11,24,16,36,35,87,54,30,60.0,16,1,Humanities,1
68,3,3,10,27,13,28,16,37,41,94,61,25,50.0,22,1,Humanities,1
68,4,4,10,28,12,24,19,38,36,93,61,37,74.0,16,1,Humanities,1
69,1,1,18,11,13,13,9,29,26,64,66,21,42.0,19,1,Arts,0
69,2,2,22,14,13,13,13,36,26,75,68,18,36.0,24,1,Arts,0
69,3,3,19,12,18,17,10,31,35,76,69,28,56.0,21,1,Arts,0
69,4,4,17,11,17,17,11,28,34,73,71,28,56.0,20,1,Arts,0
70,1,1,7,25,13,8,15,32,21,68,66,18,36.0,25,0,Humanities,0
70,2,2,7,24,18,11,14,31,29,74,76,26,52.0,20,0,Humanities,0
70,3,3,6,22,22,12,13,28,34,75,74,24,48.0,20,0,Humanities,0
70,4,4,6,21,22,12,11,27,34,72,75,34,68.0,17,0,Humanities,0
71,1,1,14,20,15,10,13,34,25,72,75,15,30.0,16,0,Humanities,0
71,2,2,13,19,17,11,17,32,28,77,70,22,44.0,15,0,Humanities,0
71,3,3,15,22,25,16,18,37,41,96,78,19,38.0,18,0,Humanities,0
71,4,4,15,22,26,16,15,37,42,94,84,22,44.0,22,0,Humanities,0
72,1,1,21,16,10,17,11,37,27,75,61,20,40.0,13,0,Arts,0
72,2,2,22,17,11,19,12,39,30,81,71,20,40.0,11,0,Arts,0
72,3,3,19,15,13,23,10,34,36,80,69,31,62.0,13,0,Arts,0
72,4,4,19,15,12,22,8,34,34,76,72,40,80.0,12,0,Arts,0
73,1,1,11,13,24,4,16,24,28,68,64,20,40.0,22,0,STEM,1
73,2,2,14,16,28,6,17,30,34,81,68,21,42.0,27,0,STEM,1
73,3,3,18,19,28,5,18,37,33,88,62,21,42.0,25,0,STEM,1
73,4,4,19,21,28,5,17,40,33,90,68,26,52.0,24,0,STEM,1
74,1,1,12,16,10,15,10,28,25,63,68,8,16.0,24,0,Arts,1
74,2,2,13,17,11,18,11,30,29,70,67,13,26.0,26,0,Arts,1
74,3,3,20,25,11,18,13,45,29,87,63,23,46.0,22,0,Arts,1
74,4,4,19,25,12,20,11,44,32,87,63,30,60.0,27,0,Arts,1
75,1,1,20,5,10,16,14,25,26,65,59,24,48.0,8,1,Arts,1
75,2,2,19,5,12,21,17,24,33,74,58,21,42.0,13,1,Arts,1
75,3,3,24,6,13,21,19,30,34,83,61,25,50.0,15,1,Arts,1
75,4,4,23,6,13,22,19,29,35,83,59,19,38.0,8,1,Arts,1
76,1,1,20,11,15,5,14,31,20,65,87,24,48.0,18,0,STEM,1
76,2,2,22,11,21,6,16,33,27,76,85,25,50.0,9,0,STEM,1
76,3,3,22,12,23,7,14,34,30,78,86,36,72.0,13,0,STEM,1
76,4,4,22,12,21,7,16,34,28,78,93,37,74.0,12,0,STEM,1
77,1,1,6,21,13,9,10,27,22,59,50,22,44.0,13,0,STEM,0
77,2,2,7,23,19,13,12,30,32,74,55,23,46.0,14,0,STEM,0
77,3,3,8,25,23,15,7,33,38,78,50,27,54.0,16,0,STEM,0
77,4,4,8,27,25,17,11,35,42,88,56,33,66.0,18,0,STEM,0
78,1,1,21,9,8,5,18,30,13,61,70,23,46.0,15,0,Humanities,1
78,2,2,22,9,13,10,20,31,23,74,70,25,50.0,14,0,Humanities,1
78,3,3,23,9,14,10,18,32,24,74,70,33,66.0,16,0,Humanities,1
78,4,4,25,10,14,10,19,35,24,78,73,34,68.0,12,0,Humanities,1
79,1,1,23,9,9,13,12,32,22,66,81,20,40.0,16,0,STEM,0
79,2,2,26,10,9,14,11,36,23,70,86,27,54.0,25,0,STEM,0
79,3,3,28,16,10,15,11,44,25,80,80,27,54.0,20,0,STEM,0
79,4,4,28,15,13,19,12,43,32,87,84,29,58.0,21,0,STEM,0
80,1,1,18,8,20,8,11,26,28,65,68,22,44.0,15,0,STEM,0
80,2,2,20,9,21,9,15,29,30,74,66,24,48.0,16,0,STEM,0
80,3,3,19,8,25,10,12,27,35,74,70,24,48.0,16,0,STEM,0
80,4,4,22,10,22,9,12,32,31,75,68,28,56.0,11,0,STEM,0
81,1,1,10,15,13,17,17,25,30,72,57,29,58.0,27,1,Humanities,1
81,2,2,14,20,16,20,17,34,36,87,67,31,62.0,26,1,Humanities,1
81,3,3,14,20,13,16,16,34,29,79,60,40,80.0,26,1,Humanities,1
81,4,4,14,20,17,22,15,34,39,88,60,44,88.0,25,1,Humanities,1
82,1,1,18,11,15,18,20,29,33,82,69,17,34.0,21,1,Humanities,1
82,2,2,20,13,14,16,18,33,30,81,65,26,52.0,24,1,Humanities,1
82,3,3,20,13,18,22,21,33,40,94,64,27,54.0,25,1,Humanities,1
82,4,4,19,12,16,20,22,31,36,89,72,24,48.0,21,1,Humanities,1
83,1,1,16,19,9,12,11,35,21,67,67,14,28.0,20,0,Arts,1
83,2,2,14,16,13,17,11,30,30,71,63,12,24.0,22,0,Arts,1
83,3,3,14,16,17,22,9,30,39,78,64,18,36.0,22,0,Arts,1
83,4,4,12,14,16,19,13,26,35,74,73,14,28.0,19,0,Arts,1
84,1,1,15,9,9,18,15,24,27,66,76,10,20.0,24,0,Arts,1
84,2,2,19,11,9,19,18,30,28,76,75,15,30.0,23,0,Arts,1
84,3,3,23,13,12,26,17,36,38,91,73,16,32.0,21,0,Arts,1
84,4,4,21,12,14,28,18,33,42,93,70,15,30.0,25,0,Arts,1
85,1,1,7,16,20,11,18,23,31,72,47,14,28.0,22,0,Arts,1
85,2,2,10,22,23,12,17,32,35,84,44,26,52.0,24,0,Arts,1
85,3,3,8,17,21,11,17,25,32,74,47,25,50.0,25,0,Arts,1
