SubjectID,Trap,Boundary,Scaffold,Iterative,Sovereignty,Defense,Construction,Higher_Order_Thinking
91,4,4,18,12,4,8,30,60
92,16,15,12,13,7,31,25,64
93,7,15,4,4,4,22,8,60
94,16,18,23,16,18,34,39,61
95,20,20,17,18,17,40,35,70
96,12,7,8,8,4,19,16,65
97,24,21,14,21,22,45,35,79
98,10,9,24,14,7,19,38,66
99,19,24,17,25,19,43,42,68
100,28,23,27,27,23,51,54,67
101,11,16,11,8,17,27,19,66
102,15,14,14,12,7,29,26,65
103,9,4,14,15,12,13,29,60
104,17,19,21,23,14,36,44,71
105,15,14,10,14,11,29,24,70
106,5,5,16,15,8,10,31,51
107,10,14,6,9,16,24,15,64
108,20,22,17,17,13,42,34,71
109,14,11,9,10,9,25,19,62
110,28,23,7,14,16,51,21,59
111,21,26,17,17,28,47,34,60
112,12,11,15,15,16,23,30,67
113,15,24,18,8,28,39,26,68
114,27,22,22,23,25,49,45,75
115,22,18,21,12,26,40,33,68
116,14,12,19,15,15,26,34,67
117,26,22,22,20,17,48,42,72
118,14,14,17,12,19,28,29,69
119,11,13,14,6,4,24,20,64
120,14,11,7,18,6,25,25,69
121,13,4,11,8,12,17,19,63
122,9,23,16,11,13,32,27,69
123,24,21,13,22,20,45,35,77
124,11,9,21,16,15,20,37,64
125,15,9,12,13,9,24,25,69
126,4,6,20,8,14,10,28,65
127,17,23,19,9,22,40,28,69
128,22,19,17,28,17,41,45,69
129,7,10,13,10,13,17,23,61
130,19,13,8,6,13,32,14,73
131,18,17,18,18,22,35,36,76
132,4,5,4,21,13,9,25,53
133,24,28,17,18,22,52,35,60
134,28,28,28,28,28,56,56,76
135,16,11,4,20,14,27,24,60
136,4,12,12,10,13,16,22,61
137,8,4,18,12,13,12,30,64
138,11,9,16,23,12,20,39,62
139,25,13,15,19,23,38,34,71
140,9,12,14,13,6,21,27,73
141,20,15,21,17,7,35,38,67
142,9,22,15,10,23,31,25,71
143,26,16,20,22,21,42,42,77
144,24,28,20,21,22,52,41,61
145,17,12,20,21,22,29,41,66
146,10,5,27,19,7,15,46,63
147,12,16,21,18,15,28,39,71
148,14,14,22,18,16,28,40,73
149,21,20,23,18,26,41,41,68
150,15,15,18,11,15,30,29,55
151,11,17,15,17,10,28,32,68
152,11,12,4,11,13,23,15,67
153,24,21,14,19,14,45,33,73
154,23,21,22,18,25,44,40,69
155,25,18,21,16,18,43,37,70
156,21,28,17,21,20,49,38,72
157,11,13,6,4,18,24,10,66
158,22,28,5,11,16,50,16,63
159,4,4,8,9,4,8,17,52
160,16,13,6,17,15,29,23,67
161,6,4,4,4,9,10,8,56
162,7,4,14,8,10,11,22,58
163,8,4,12,15,7,12,27,56
164,4,12,19,21,10,16,40,62
165,8,6,10,19,14,14,29,63
166,23,18,25,28,23,41,53,66
167,17,21,9,12,18,38,21,63
168,14,11,9,14,26,25,23,60
169,14,27,23,16,13,41,39,68
170,28,28,28,24,28,56,52,66
171,17,18,22,20,25,35,42,72
172,20,21,26,13,15,41,39,67
173,18,20,19,18,21,38,37,63
174,10,9,12,9,11,19,21,65
175,24,27,19,21,24,51,40,73
176,19,24,22,18,15,43,40,66
177,19,20,22,8,28,39,30,74
178,11,14,24,18,18,25,42,68
179,22,25,25,18,23,47,43,76
180,19,18,12,11,10,37,23,67
181,5,4,18,20,4,9,38,49
182,24,21,9,15,20,45,24,68
183,20,13,18,25,19,33,43,67
184,17,18,16,9,18,35,25,65
185,9,12,10,13,15,21,23,64
186,14,14,15,16,10,28,31,60
187,18,22,28,27,20,40,55,62
188,21,24,21,19,22,45,40,71
189,25,28,20,18,28,53,38,68
190,19,22,15,14,22,41,29,72
191,14,16,4,13,26,30,17,68
192,21,21,19,15,20,42,34,60
193,14,15,13,10,15,29,23,65
194,17,15,16,23,21,32,39,73
195,21,13,23,18,25,34,41,72
196,13,12,10,20,14,25,30,61
197,18,21,25,22,24,39,47,72
198,14,15,16,15,16,29,31,71
199,25,18,15,10,22,43,25,76
200,16,20,22,21,17,36,43,66
201,10,17,15,15,16,27,30,65
202,17,10,4,4,4,27,8,56
203,15,12,22,10,5,27,32,66
204,24,22,21,20,24,46,41,60
205,14,10,4,7,6,24,11,63
206,8,12,7,16,21,20,23,68
207,11,17,16,16,18,28,32,74
208,28,28,19,21,26,56,40,63
209,22,19,8,11,25,41,19,70
210,27,26,28,19,27,53,47,67
211,25,21,24,20,25,46,44,77
212,13,19,11,11,8,32,22,69
213,8,8,23,16,11,16,39,71
214,26,19,20,19,21,45,39,75
215,28,28,28,22,20,56,50,58
216,13,13,16,15,10,26,31,64
217,16,12,13,10,23,28,23,78
218,23,25,28,21,25,48,49,74
219,23,21,27,17,23,44,44,64
220,22,20,21,14,16,42,35,68
221,25,22,23,28,17,47,51,72
222,15,9,20,13,15,24,33,65
223,10,15,16,18,19,25,34,70
224,19,17,16,18,9,36,34,66
225,22,18,12,19,7,40,31,68
226,4,4,11,16,4,8,27,61
227,16,12,14,21,14,28,35,72
228,15,8,15,11,12,23,26,56
229,24,22,12,17,9,46,29,54
230,8,22,18,18,17,30,36,69
231,18,16,17,19,20,34,36,70
232,10,16,17,23,15,26,40,72
233,7,15,14,5,10,22,19,63
234,23,28,20,28,23,51,48,69
235,17,13,16,17,12,30,33,70
236,25,27,17,15,28,52,32,66
237,24,19,27,20,26,43,47,66
238,14,12,4,7,23,26,11,64
239,13,10,16,19,9,23,35,63
240,24,28,12,11,26,52,23,61
241,21,18,18,16,19,39,34,69
242,24,28,24,18,27,52,42,68
243,20,22,18,21,20,42,39,67
244,19,17,20,20,27,36,40,67
245,15,14,22,28,15,29,50,74
246,25,21,7,14,15,46,21,63
247,9,18,19,25,10,27,44,63
248,13,15,15,12,11,28,27,72
249,8,8,12,17,9,16,29,76
250,24,8,21,9,18,32,30,64
251,19,15,16,20,17,34,36,68
252,25,25,28,26,20,50,54,67
253,5,4,6,9,11,9,15,52
254,4,4,10,19,9,8,29,72
255,23,19,23,18,17,42,41,64
256,14,5,18,15,16,19,33,69
257,18,14,12,18,17,32,30,64
258,28,28,22,24,24,56,46,68
259,16,21,15,17,19,37,32,73
260,16,14,20,22,8,30,42,65
261,18,27,17,21,28,45,38,70
262,17,9,11,13,23,26,24,71
263,20,13,15,17,16,33,32,63
264,5,12,10,16,17,17,26,61
265,24,22,15,14,14,46,29,68
266,17,17,15,17,18,34,32,77
267,15,15,16,23,28,30,39,66
268,17,13,21,20,19,30,41,67
269,19,15,12,13,15,34,25,64
270,12,7,13,12,13,19,25,64
271,17,15,15,14,28,32,29,74
272,13,11,7,10,14,24,17,68
273,18,21,12,15,17,39,27,71
274,23,17,20,21,18,40,41,64
275,18,27,12,22,17,45,34,68
276,15,22,15,16,19,37,31,71
277,17,19,15,12,21,36,27,65
278,28,26,25,19,24,54,44,66
279,24,21,16,14,19,45,30,75
280,22,23,28,23,23,45,51,68
281,16,16,12,17,10,32,29,66
282,22,25,28,26,27,47,54,67
283,17,14,20,22,21,31,42,63
284,4,4,5,10,7,8,15,53
285,14,10,15,5,14,24,20,70
286,17,15,17,18,12,32,35,77
287,12,13,13,8,9,25,21,71
288,9,10,17,16,10,19,33,63
289,21,18,16,19,14,39,35,57
290,11,19,20,28,13,30,48,70
291,10,12,14,17,17,22,31,59
292,16,9,4,9,9,25,13,64
293,16,12,11,14,4,28,25,65
294,5,13,6,4,9,18,10,58
295,19,13,23,17,27,32,40,65
296,11,9,5,12,14,20,17,61
297,10,12,10,17,12,22,27,68
298,28,25,19,28,28,53,47,66
299,13,15,10,15,15,28,25,71
300,16,19,4,7,12,35,11,64
301,13,15,22,15,9,28,37,66
302,15,14,17,16,16,29,33,73
303,14,27,16,22,21,41,38,64
304,24,18,16,14,22,42,30,76
305,4,11,13,11,13,15,24,67
306,27,19,22,14,10,46,36,68
307,22,17,15,23,15,39,38,83
308,13,21,4,8,12,34,12,60
309,15,12,12,16,16,27,28,66
310,19,12,23,18,22,31,41,67
311,18,25,15,22,21,43,37,75
312,21,18,16,20,19,39,36,66
313,12,19,15,18,19,31,33,64
314,13,12,11,13,10,25,24,61
315,18,19,10,12,24,37,22,72
316,8,16,15,8,18,24,23,70
317,14,25,4,8,13,39,12,74
318,12,7,19,10,5,19,29,63
319,16,14,19,19,28,30,38,64
320,22,18,28,28,28,40,56,71
321,16,12,16,18,11,28,34,70
322,12,15,12,8,6,27,20,60
323,4,8,14,19,13,12,33,59
324,22,28,28,17,18,50,45,74
325,13,18,16,17,23,31,33,72
326,20,23,26,27,25,43,53,74
327,16,15,10,4,8,31,14,62
328,7,11,21,18,14,18,39,63
329,10,11,19,22,16,21,41,69
330,21,15,15,26,23,36,41,76
331,12,10,13,10,12,22,23,64
332,25,24,26,19,28,49,45,67
333,28,27,16,23,24,55,39,70
334,25,27,23,17,24,52,40,61
335,17,17,15,16,19,34,31,73
336,18,26,16,21,20,44,37,60
337,22,23,20,27,27,45,47,68
338,23,18,14,20,18,41,34,75
339,11,10,17,14,20,21,31,70
340,14,19,12,4,11,33,16,55
341,14,18,11,13,21,32,24,75
342,4,4,4,4,4,8,8,56
343,15,13,12,17,4,28,29,74
344,18,28,22,26,28,46,48,68
345,21,23,16,22,18,44,38,67
346,16,12,17,19,15,28,36,62
347,24,17,21,19,13,41,40,68
348,17,12,12,13,15,29,25,63
349,20,14,17,13,19,34,30,59
350,8,13,11,17,7,21,28,66
351,12,10,17,12,17,22,29,70
352,20,20,16,16,26,40,32,74
353,18,21,17,28,12,39,45,77
354,11,4,14,6,6,15,20,66
355,5,17,11,18,22,22,29,68
356,23,28,22,11,28,51,33,64
357,14,10,20,20,18,24,40,62
358,11,9,18,17,19,20,35,67
359,20,22,19,6,19,42,25,64
360,4,4,9,13,6,8,22,55
361,19,22,18,12,19,41,30,68
362,22,21,17,12,20,43,29,70
363,11,17,23,19,8,28,42,61
364,21,21,16,18,17,42,34,65
365,26,28,18,22,28,54,40,67
366,13,8,20,24,22,21,44,62
367,10,17,12,22,22,27,34,60
368,9,10,4,5,8,19,9,67
369,28,27,28,20,25,55,48,65
370,21,17,23,18,15,38,41,70
371,13,6,18,19,14,19,37,74
372,21,21,13,8,13,42,21,60
373,8,9,13,8,4,17,21,65
374,26,25,25,23,21,51,48,68
375,4,4,4,4,4,8,8,58
376,18,24,23,28,14,42,51,77
377,19,16,16,13,8,35,29,72
378,13,12,10,13,13,25,23,69
379,16,15,7,14,10,31,21,70
380,17,9,20,25,16,26,45,78
381,17,20,28,17,19,37,45,64
382,4,16,19,13,15,20,32,67
383,17,9,17,7,18,26,24,63
384,4,10,14,18,18,14,32,69
385,17,17,5,7,7,34,12,61
386,19,16,14,21,16,35,35,71
387,13,19,14,9,20,32,23,74
388,12,8,4,6,8,20,10,61
389,18,20,22,10,9,38,32,73
390,11,12,20,13,10,23,33,55
391,15,17,14,9,21,32,23,78
392,14,27,20,21,17,41,41,76
393,14,4,8,6,4,18,14,64
394,16,19,19,13,7,35,32,62
395,15,13,10,5,19,28,15,72
396,22,16,19,9,13,38,28,65
397,15,10,12,25,14,25,37,71
398,6,14,13,18,20,20,31,66
399,18,19,18,19,11,37,37,69
400,15,9,17,8,6,24,25,70
