SubjectID,Task_Type,TII_Total,General_CT,Performance
94,AI-free,95,50,54
95,AI-mediated,108,39,85
95,AI-free,108,39,45
96,AI-mediated,44,64,83
96,AI-free,44,64,40
97,AI-mediated,55,66,47
97,AI-free,55,66,48
98,AI-mediated,118,39,100
98,AI-free,118,39,43
99,AI-mediated,55,64,75
99,AI-free,55,64,56
100,AI-mediated,58,53,35
100,AI-free,58,53,41
101,AI-mediated,26,24,51
101,AI-free,26,24,43
102,AI-mediated,46,63,95
102,AI-free,46,63,59
103,AI-mediated,130,69,88
103,AI-free,130,69,69
104,AI-mediated,80,45,59
104,AI-free,80,45,50
105,AI-mediated,70,46,61
105,AI-free,70,46,53
106,AI-mediated,101,64,75
106,AI-free,101,64,51
107,AI-mediated,82,65,71
107,AI-free,82,65,75
108,AI-mediated,87,33,72
108,AI-free,87,33,62
109,AI-mediated,81,44,83
109,AI-free,81,44,50
110,AI-mediated,94,59,56
110,AI-free,94,59,57
111,AI-mediated,106,79,56
111,AI-free,106,79,60
112,AI-mediated,138,61,90
112,AI-free,138,61,64
113,AI-mediated,50,56,56
113,AI-free,50,56,54
114,AI-mediated,91,54,75
114,AI-free,91,54,47
115,AI-mediated,61,43,59
115,AI-free,61,43,42
116,AI-mediated,58,56,67
116,AI-free,58,56,53
117,AI-mediated,88,55,88
117,AI-free,88,55,37
118,AI-mediated,44,44,0
118,AI-free,44,44,44
119,AI-mediated,77,43,30
119,AI-free,77,43,50
120,AI-mediated,99,48,94
120,AI-free,99,48,39
121,AI-mediated,99,37,100
121,AI-free,99,37,36
122,AI-mediated,64,67,51
122,AI-free,64,67,63
123,AI-mediated,70,80,88
123,AI-free,70,80,83
124,AI-mediated,100,64,78
124,AI-free,100,64,43
125,AI-mediated,80,29,34
125,AI-free,80,29,48
126,AI-mediated,85,49,74
126,AI-free,85,49,53
127,AI-mediated,96,64,63
127,AI-free,96,64,56
128,AI-mediated,110,57,66
128,AI-free,110,57,57
129,AI-mediated,55,48,54
129,AI-free,55,48,36
130,AI-mediated,52,68,59
130,AI-free,52,68,48
131,AI-mediated,66,47,56
131,AI-free,66,47,38
132,AI-mediated,65,54,88
132,AI-free,65,54,56
133,AI-mediated,69,43,58
133,AI-free,69,43,47
134,AI-mediated,64,42,86
134,AI-free,64,42,41
135,AI-mediated,94,50,73
135,AI-free,94,50,45
136,AI-mediated,89,47,88
136,AI-free,89,47,58
137,AI-mediated,78,32,98
137,AI-free,78,32,54
138,AI-mediated,95,47,100
138,AI-free,95,47,51
139,AI-mediated,53,56,65
139,AI-free,53,56,51
140,AI-mediated,74,43,44
140,AI-free,74,43,41
141,AI-mediated,63,44,73
141,AI-free,63,44,42
142,AI-mediated,54,52,100
142,AI-free,54,52,46
143,AI-mediated,40,50,85
143,AI-free,40,50,57
144,AI-mediated,37,36,66
144,AI-free,37,36,42
145,AI-mediated,92,57,76
145,AI-free,92,57,34
146,AI-mediated,72,32,63
146,AI-free,72,32,38
147,AI-mediated,57,29,11
147,AI-free,57,29,49
148,AI-mediated,123,67,52
148,AI-free,123,67,47
149,AI-mediated,104,53,100
149,AI-free,104,53,54
150,AI-mediated,112,73,51
150,AI-free,112,73,65
151,AI-mediated,128,63,100
151,AI-free,128,63,65
152,AI-mediated,52,65,62
152,AI-free,52,65,52
153,AI-mediated,38,31,79
153,AI-free,38,31,37
154,AI-mediated,74,27,5
154,AI-free,74,27,50
155,AI-mediated,109,47,84
155,AI-free,109,47,42
156,AI-mediated,85,60,85
156,AI-free,85,60,45
157,AI-mediated,71,46,52
157,AI-free,71,46,42
158,AI-mediated,104,59,85
158,AI-free,104,59,41
159,AI-mediated,94,27,26
159,AI-free,94,27,45
160,AI-mediated,96,53,95
160,AI-free,96,53,47
161,AI-mediated,70,46,11
161,AI-free,70,46,48
162,AI-mediated,79,46,42
162,AI-free,79,46,64
163,AI-mediated,75,49,36
163,AI-free,75,49,43
164,AI-mediated,76,61,45
164,AI-free,76,61,56
165,AI-mediated,83,60,36
165,AI-free,83,60,65
166,AI-mediated,44,38,50
166,AI-free,44,38,39
167,AI-mediated,93,50,83
167,AI-free,93,50,57
168,AI-mediated,89,53,79
168,AI-free,89,53,55
169,AI-mediated,117,33,76
169,AI-free,117,33,48
170,AI-mediated,96,56,88
170,AI-free,96,56,37
171,AI-mediated,98,61,84
171,AI-free,98,61,76
172,AI-mediated,53,43,66
172,AI-free,53,43,53
173,AI-mediated,78,51,54
173,AI-free,78,51,52
174,AI-mediated,128,69,74
174,AI-free,128,69,48
175,AI-mediated,72,42,48
175,AI-free,72,42,51
176,AI-mediated,42,74,78
176,AI-free,42,74,58
177,AI-mediated,67,60,44
177,AI-free,67,60,40
178,AI-mediated,88,36,40
178,AI-free,88,36,40
179,AI-mediated,43,40,69
179,AI-free,43,40,41
180,AI-mediated,85,50,40
180,AI-free,85,50,50
181,AI-mediated,77,45,56
181,AI-free,77,45,64
182,AI-mediated,64,37,37
182,AI-free,64,37,65
183,AI-mediated,100,39,100
183,AI-free,100,39,20
184,AI-mediated,71,42,67
184,AI-free,71,42,56
185,AI-mediated,41,41,66
185,AI-free,41,41,49
186,AI-mediated,140,59,82
186,AI-free,140,59,49
187,AI-mediated,84,52,96
187,AI-free,84,52,64
188,AI-mediated,61,41,50
188,AI-free,61,41,49
189,AI-mediated,92,53,43
189,AI-free,92,53,68
190,AI-mediated,117,59,17
190,AI-free,117,59,54
191,AI-mediated,70,53,36
191,AI-free,70,53,50
192,AI-mediated,83,34,56
192,AI-free,83,34,50
193,AI-mediated,117,44,69
193,AI-free,117,44,51
194,AI-mediated,102,76,79
194,AI-free,102,76,61
195,AI-mediated,20,44,33
195,AI-free,20,44,24
196,AI-mediated,94,44,96
196,AI-free,94,44,73
197,AI-mediated,94,50,70
197,AI-free,94,50,55
198,AI-mediated,64,66,71
198,AI-free,64,66,53
199,AI-mediated,88,49,57
199,AI-free,88,49,43
200,AI-mediated,68,71,63
200,AI-free,68,71,49
201,AI-mediated,48,32,70
201,AI-free,48,32,42
202,AI-mediated,64,49,59
202,AI-free,64,49,35
203,AI-mediated,45,44,76
203,AI-free,45,44,44
204,AI-mediated,82,58,89
204,AI-free,82,58,50
205,AI-mediated,96,57,36
205,AI-free,96,57,56
206,AI-mediated,90,24,75
206,AI-free,90,24,40
207,AI-mediated,74,40,60
207,AI-free,74,40,28
208,AI-mediated,100,38,60
208,AI-free,100,38,59
209,AI-mediated,103,77,74
209,AI-free,103,77,61
210,AI-mediated,96,24,88
210,AI-free,96,24,68
211,AI-mediated,71,61,42
211,AI-free,71,61,49
212,AI-mediated,68,59,66
212,AI-free,68,59,50
213,AI-mediated,61,48,48
213,AI-free,61,48,62
214,AI-mediated,50,33,55
214,AI-free,50,33,57
215,AI-mediated,94,42,81
215,AI-free,94,42,47
216,AI-mediated,59,56,57
216,AI-free,59,56,51
217,AI-mediated,110,61,42
217,AI-free,110,61,33
218,AI-mediated,80,52,28
218,AI-free,80,52,63
219,AI-mediated,84,47,54
219,AI-free,84,47,33
220,AI-mediated,87,52,83
220,AI-free,87,52,36
221,AI-mediated,63,48,68
221,AI-free,63,48,44
222,AI-mediated,83,46,24
222,AI-free,83,46,54
223,AI-mediated,61,38,40
223,AI-free,61,38,53
224,AI-mediated,112,51,81
224,AI-free,112,51,62
225,AI-mediated,88,58,94
225,AI-free,88,58,46
226,AI-mediated,57,57,63
226,AI-free,57,57,60
227,AI-mediated,105,56,75
227,AI-free,105,56,28
228,AI-mediated,79,55,69
228,AI-free,79,55,59
229,AI-mediated,53,45,68
229,AI-free,53,45,53
230,AI-mediated,102,66,75
230,AI-free,102,66,53
231,AI-mediated,93,52,99
231,AI-free,93,52,68
232,AI-mediated,69,69,68
232,AI-free,69,69,42
233,AI-mediated,109,36,88
233,AI-free,109,36,42
234,AI-mediated,55,40,53
234,AI-free,55,40,50
235,AI-mediated,118,69,100
235,AI-free,118,69,46
236,AI-mediated,82,41,52
236,AI-free,82,41,31
237,AI-mediated,86,70,44
237,AI-free,86,70,61
238,AI-mediated,52,46,39
238,AI-free,52,46,60
239,AI-mediated,63,39,44
239,AI-free,63,39,48
240,AI-mediated,56,28,74
240,AI-free,56,28,41
