ID,Trap,Boundary,Scaffold,Iterative,Sovereignty,TII_Total,MAI_Knowledge,MAI_Process,BPNS_Autonomy,BPNS_Competence,BPNS_Relatedness,EAS_Construction,EAS_Evaluation,EAS_Integration,AILST_Operational,AILST_Ethical,AILST_Application,AILST_Total,NFCC_Decisiveness,NFCC_Closedmindedness,Defense,Construction
32,15,20,21,21,14,91,28,16,10,11,12,18,17,24,3.473673266548583,5.726097267823739,5.0528164770966715,4.75,3.0427464206082884,3.104083853376591,0.742,0.126
33,16,19,23,22,15,95,19,24,18,20,17,26,23,16,3.6151189199108176,5.307772239964444,4.703711441886858,4.54,4.842836222577842,3.9559937238627443,0.51,0.974
34,12,14,18,18,11,73,12,14,17,16,18,15,14,9,1.0,3.102377643346582,3.735193907845475,2.61,4.182324978595982,2.956259816706319,0.422,0.231
35,20,17,19,18,20,94,25,19,18,15,20,18,19,28,3.688870405149304,5.093968184913571,5.649536227423865,4.81,3.056458486397676,1.3892273314151973,0.398,0.773
36,12,14,18,19,16,79,11,21,23,11,27,18,21,22,5.191098330110708,3.5260182785426606,6.616896664664807,5.11,5.839089953145651,3.3934678781889867,0.026,0.339
37,18,16,13,12,18,77,21,17,14,17,17,20,13,21,5.008561475358864,3.68193726285138,6.785043143412452,5.16,2.412897070843653,3.993746251155386,0.336,0.143
38,16,15,14,15,9,69,10,19,8,13,13,20,17,13,4.0358457180662315,3.426001489982036,2.0830442420132314,3.18,3.841395217739341,2.3445263295806598,0.976,0.858
39,14,20,17,19,16,86,12,31,18,12,15,13,15,15,5.021264892486813,4.040488344888472,5.819785404147048,4.96,2.426115633719758,4.174135320394566,0.874,0.309
40,17,15,17,16,15,80,21,18,20,5,8,19,16,16,3.51695086603311,4.8678488502627495,4.343854904292194,4.24,4.510942928449163,4.283281978081352,0.329,0.659
41,20,15,16,18,11,80,25,26,20,16,13,15,21,20,4.50910960519181,2.90367731664705,3.6944948654515417,3.7,5.5341309106830305,4.874239506979794,0.588,0.566
42,14,17,14,22,23,90,19,16,19,22,14,11,21,22,5.437784222972441,7.0,3.7352609964769625,5.39,4.467479177612937,3.8028511341067204,0.847,0.472
43,14,15,13,18,12,72,18,24,19,21,13,14,16,19,2.4877580902849914,1.9442187266177462,3.194193985998032,2.54,5.021393116771874,6.059458520731361,0.441,0.496
44,15,12,17,11,14,69,17,27,16,15,16,17,15,11,4.155911727458477,2.5536982509636763,2.914195511418205,3.21,3.546969033201342,3.175548593118524,0.018,0.732
45,14,9,19,9,12,63,11,6,14,15,12,31,16,22,4.399909514219848,3.4875602494123874,4.227153455539403,4.04,3.5685718511290854,3.8840530400360307,0.075,0.088
46,11,14,14,12,16,67,13,16,20,17,20,18,6,15,3.6680688472036174,4.133634307511966,5.247871202281966,4.35,2.0250252799431756,2.888431792292634,0.51,0.668
47,15,17,18,22,22,94,17,26,23,13,16,13,26,19,5.365421445941874,4.5689643034746625,3.147509017597102,4.36,4.889447576389027,2.650303558845813,0.969,0.896
48,17,12,17,14,17,77,25,18,12,18,15,16,15,24,6.948169881704208,3.6005332098218665,4.309292088576017,4.95,3.89410701577994,4.8028428686514575,0.693,0.058
49,20,17,18,19,18,92,23,25,23,20,14,24,21,13,4.471630999255154,4.813832982857241,5.685055201694893,4.99,2.928210019744883,1.6986609331954445,0.071,0.141
50,21,15,16,16,20,88,13,18,24,21,16,27,23,19,4.718443101839524,3.6424814867183524,4.71592781050458,4.36,4.41720852031181,1.9774366946691186,0.189,0.717
51,19,18,20,22,15,94,22,24,14,17,19,14,15,16,3.920905825763592,6.404175033279181,4.701707501242866,5.01,2.750920240155344,4.865355154585505,0.771,0.437
52,13,20,16,18,16,83,16,24,19,15,12,10,15,8,5.247255611715032,5.213014216488608,4.503069672925974,4.99,3.9245216485540086,4.3818614515498275,0.841,0.404
53,20,22,18,14,22,96,18,33,22,13,13,27,15,20,5.862733038816947,4.743460048249318,5.647178545548387,5.42,2.8704566519039307,2.2707188999553307,0.618,0.137
54,20,23,17,19,18,97,24,29,19,13,14,20,15,30,5.720892178765789,3.1223153563378903,4.243718477417749,4.36,3.961824290090678,3.9852819664114456,0.644,0.507
55,14,8,17,11,12,62,23,18,13,16,10,15,22,7,2.0797297410036624,3.1904921538222037,2.1118333887210596,2.46,3.844353188669116,4.124881753588063,0.028,0.127
56,16,14,14,16,14,74,24,18,14,17,12,18,13,16,4.3580401567508815,3.557216161074572,2.59481738292545,3.5,2.4012079941768563,5.105518234396219,0.829,0.477
57,11,14,20,19,15,79,13,18,17,21,14,10,16,17,5.752316011091998,3.0738509162348464,4.681314983364509,4.5,3.7093029357177207,3.5110342645767334,0.788,0.764
58,24,20,22,22,20,108,22,23,23,15,19,22,22,21,5.5441163788044765,5.134938491331243,4.929190915327864,5.2,4.161973319380404,3.938923427292015,0.259,0.258
59,17,17,17,15,18,84,21,25,20,22,17,20,11,16,5.655511948944418,3.1381295280940105,4.381112023157581,4.39,3.3512427291085944,5.8437687267576255,0.709,0.481
60,16,18,18,21,19,92,24,21,17,16,16,23,18,10,4.477185565585248,5.370019388490546,4.278192879866323,4.71,3.9991346196268633,3.6066281095294768,0.215,0.992
61,21,14,19,20,17,91,20,22,20,17,19,16,21,20,4.961497668620198,3.1221619675082644,4.0163498539434155,4.03,2.50955943578907,3.2604766738565383,0.04,0.687
62,15,19,15,17,14,80,18,36,6,13,15,17,16,12,5.203228492826051,6.166193262402331,4.838219452791316,5.4,3.7036243238981643,4.29685056420267,0.201,0.841
63,13,14,16,24,14,81,12,25,20,7,17,14,21,6,3.0731912913902706,3.8464612652072425,3.408284302598183,3.44,3.156710501024357,3.1659954569073085,0.179,0.415
64,19,18,17,18,17,89,15,22,11,20,15,20,16,23,5.093959844531968,4.451181670889003,2.9446651474840815,4.16,4.148254344252708,5.691840809299947,0.338,0.768
65,18,18,13,16,19,84,24,30,17,18,17,11,11,22,3.63930531594044,4.8993228594660625,5.486095051568844,4.67,3.319321442007651,3.1720256174101826,0.418,0.041
66,19,19,18,23,16,95,27,22,13,16,13,18,23,18,4.19052624064819,4.118958320785431,3.9278059111391306,4.08,4.183650288455131,3.0376267319693957,0.509,0.123
67,16,15,20,15,18,84,19,10,14,18,6,17,24,17,4.491977981564844,4.846120654217325,4.556893628653911,4.63,4.372326003454063,2.228180631145082,0.477,0.203
68,20,16,17,16,18,87,26,16,22,18,15,21,17,23,4.764639515252658,2.4161291383673884,6.187562581315342,4.46,4.010222817635358,4.237727642519543,0.271,0.402
69,19,19,21,22,18,99,23,14,17,12,21,25,22,19,3.5728424369770595,6.476588439376162,4.503141141955398,4.85,3.62763419870074,3.99857430623262,0.029,0.846
70,18,14,16,11,19,78,17,18,20,14,19,17,17,22,5.2991052330542034,3.305419057151279,5.015916596728242,4.54,2.37797656713568,2.46774100399834,0.605,0.346
71,14,15,17,18,13,77,20,21,15,20,19,19,13,14,4.916841923651089,3.448939095033002,2.3431162462514017,3.57,3.8125045434694993,4.257255223461696,0.396,0.655
72,22,17,18,17,17,91,30,32,19,12,20,13,25,26,3.8050595469574358,3.686465031707085,4.104825537729433,3.87,2.9780260913011785,1.6408240740206,0.299,0.709
73,12,18,14,17,13,74,17,25,16,16,16,15,19,16,3.033239114854257,5.047954952698949,4.193390083193702,4.09,3.5005117696315944,3.850252653017047,0.867,0.586
74,21,15,18,17,15,86,29,20,12,12,16,19,25,20,4.120899653472021,3.3359581674753542,2.338300187854015,3.27,3.2978164229946882,3.9042781085864915,0.747,0.357
75,13,13,16,24,15,81,5,24,20,18,13,29,18,9,3.4809762413281584,4.027044922843174,4.155229142869771,3.89,2.7443736729464963,5.208594082887759,0.858,0.577
76,22,14,16,21,17,90,26,8,16,16,14,13,28,21,4.254542234035581,4.292549457318481,4.436363953026602,4.33,1.6759927255490936,2.4078117414526896,0.495,0.342
77,20,17,17,11,19,84,22,24,13,10,18,25,18,15,4.184330203106837,1.8419368706331962,4.759450939625638,3.6,2.6797225188269507,1.6557769879119335,0.131,0.084
78,17,14,17,18,14,80,18,25,15,21,20,23,21,14,1.9001727529709838,6.418578304734417,4.828129412440653,4.38,3.904417226631799,2.6148285796833264,0.696,0.993
79,19,17,15,16,24,91,21,14,27,13,15,18,18,14,4.156318569775119,3.2304777565479035,6.0243547472214445,4.47,1.6209427749601715,1.0343085544391823,0.206,0.127
80,16,14,19,18,20,87,10,27,22,14,14,28,17,11,3.7896191018529892,5.203513741071477,6.438226874385794,5.14,3.217448814526406,4.262280494662165,0.441,0.072
81,25,19,22,22,21,109,23,26,19,19,16,24,26,31,5.596689568969765,4.949785250818403,4.0734472241681186,4.87,4.85289864899482,4.370478419784255,0.065,0.879
82,15,13,18,14,19,79,20,17,17,21,18,21,17,22,3.200911879074385,2.4613804834280497,4.857359529205672,3.51,4.225800184169408,3.317727780793801,0.825,0.302
83,18,15,12,10,17,72,27,25,17,11,10,14,6,26,6.145508145733251,3.1530468754046987,4.419475358102578,4.57,4.967881089112144,4.478910702764431,0.126,0.65
84,17,18,16,24,15,90,17,36,24,16,6,23,17,11,2.6179478926501205,5.911038118986098,2.8412239177135934,3.79,3.997776946693728,3.5728401331393966,0.903,0.329
85,11,15,10,16,10,62,13,22,15,15,13,18,16,14,5.737487409796185,3.6950785443650767,3.975175031793904,4.47,5.144637016303252,3.8956320833361415,0.864,0.391
86,15,12,12,11,13,63,16,20,17,17,11,12,16,10,3.5741835983028682,4.753975739404881,5.9678276829660115,4.77,3.153210303785211,3.3117059793336527,0.465,0.262
87,19,14,19,21,24,97,25,18,25,18,13,14,20,15,5.08327380693787,5.8198494888857475,5.660761190063191,5.52,2.2643832776872417,2.101172921282614,0.744,0.343
88,15,19,16,14,15,79,20,19,17,15,15,17,21,12,4.981773201532952,4.800090042995562,4.4699200939860555,4.75,1.1361173533941407,1.8244001852496898,0.619,0.411
89,17,18,15,9,15,74,17,28,16,12,14,13,6,23,6.005504260341784,2.4679259591165534,4.034881270515888,4.17,4.724574036666668,3.708302630582114,0.803,0.72
90,16,17,16,14,12,75,22,18,14,16,21,17,17,15,4.157412125875231,2.3442779653255146,2.6322174243052636,3.04,5.310620166490139,3.7282039548692385,0.432,0.512
91,17,16,13,19,16,81,20,22,17,11,17,21,11,22,3.2148963280865432,3.5555062680907525,2.2560633691317804,3.01,3.047082802060883,4.096295063105557,0.786,0.944
92,21,18,20,14,17,90,27,21,18,6,17,19,19,22,6.317424472691517,3.912162667305027,3.601917542978146,4.61,3.233211878901397,3.3064243028330527,0.462,0.042
93,13,11,12,10,13,59,14,21,18,16,18,14,13,25,3.544391572397987,3.830954717479504,2.122717026348637,3.17,3.125878416788735,3.488793457325082,0.941,0.503
94,17,15,18,21,15,86,18,23,17,20,11,20,22,10,4.5277611636637936,1.8966012221346142,5.710451704460221,4.04,3.990029803608165,2.5278355273094797,0.486,0.584
95,20,14,17,16,24,91,19,26,24,7,20,22,13,24,5.49979882367224,3.91642105624308,5.55926626015166,4.99,3.8818346851043093,2.498884625401047,0.463,0.92
96,18,13,14,22,20,87,13,17,19,11,15,6,26,23,2.83036348894711,4.886655158795449,4.551182717988311,4.09,1.6098876642053057,3.640133639681548,0.785,0.049
97,19,16,18,12,18,83,22,20,18,19,18,17,20,13,5.095764497866222,3.0746951750572125,5.444303129476834,4.54,3.752256659500616,1.9083326470168216,0.822,0.573
98,22,17,17,20,25,101,24,17,15,24,11,19,22,24,3.9325523563254743,6.023622413922652,4.710150390515626,4.89,2.513082216738625,2.402623711836129,0.554,0.854
99,13,17,16,18,16,80,18,20,20,16,9,23,18,16,4.440736868939206,4.699959884982722,3.346391387644235,4.16,3.656455887662551,3.563664430225603,0.18,0.242
100,16,16,20,12,14,78,18,24,17,15,19,19,18,15,4.514874295331666,5.025498128431648,3.825542758735381,4.46,4.147239376122236,2.7992240202486545,0.468,0.876
101,12,18,10,12,11,63,10,28,18,13,17,6,12,10,3.074720896026938,3.1503612313548244,4.242478131602561,3.49,3.8178386032180773,3.2711617464262837,0.968,0.019
102,19,18,17,17,17,88,19,18,7,22,12,21,22,15,3.875630331695342,5.205910516699783,4.8511162921939395,4.64,3.370673914944023,3.4489470243597444,0.753,0.732
103,19,16,19,15,13,82,19,27,23,15,12,17,24,27,5.934640966306121,5.807674619148156,3.8197029500148725,5.19,3.619529051066662,2.4795882209302285,0.811,0.933
104,14,17,11,15,16,73,14,30,17,11,20,9,21,15,5.571360286186136,5.4103561535299285,4.220583046847408,5.07,4.439845186185009,3.6851793931790833,0.033,0.657
105,23,20,19,19,19,100,22,27,23,15,11,17,16,24,4.976478642422242,2.9675215926752205,5.1308077040536855,4.36,3.6733583156950345,2.0539607206645023,0.468,0.439
106,23,17,19,20,17,96,25,33,14,13,22,19,21,16,4.857401523137767,4.125389617050432,4.540712443706707,4.51,3.6670272256063434,4.3141874212461815,0.647,0.045
107,14,12,17,10,15,68,27,15,19,17,12,16,8,12,3.49655177501349,2.7362699087321865,2.8818640702863396,3.04,2.4783204975033586,5.864090598106593,0.83,0.92
108,20,14,16,17,18,85,22,13,14,22,18,8,20,23,5.635060854135129,4.655192652653258,4.572084568670085,4.95,3.031858280438482,2.2021189227153535,0.049,0.47
109,20,12,13,11,12,68,23,9,13,16,14,19,16,12,3.6007920184750764,4.131335946684748,2.259665123642546,3.33,4.724025785106378,4.325525703883898,0.852,0.029
110,18,17,18,19,16,88,20,31,24,16,18,25,11,16,4.844876512150411,3.2786808085377954,4.223650343934512,4.12,3.587253703142051,2.5658251146848428,0.548,0.69
111,17,15,17,19,15,83,11,25,16,15,13,21,14,17,5.554145507786282,4.392753737668108,3.4501778086012633,4.47,4.243148811153323,4.515797354705022,0.197,0.482
112,17,17,15,19,21,89,20,22,21,10,15,12,18,17,3.724408413102376,1.8275795797677334,7.0,4.18,4.730619688844595,1.4450126340787814,0.317,0.124
113,13,18,15,20,14,80,18,25,19,19,16,16,18,14,6.4709537349367015,6.208747476729453,3.7138438434285974,5.46,4.677114897782208,4.0454008340389205,0.282,0.214
114,15,14,22,11,18,80,31,14,20,18,11,22,9,18,2.429751623518176,2.658495699945513,3.071630206558921,2.72,3.4631164886635992,2.1894017650557243,0.531,0.064
115,17,17,18,19,15,86,19,37,17,16,18,22,21,20,6.396768389396491,4.37804094407573,3.8086224639181925,4.86,3.1730706168568847,3.218379133645703,0.052,0.574
116,20,18,23,25,22,108,23,24,22,30,13,26,23,22,4.326566553824267,4.694971730889739,5.8310198583860675,4.95,1.0,1.5763439923965337,0.159,0.622
117,17,14,16,20,16,83,20,21,26,17,15,15,19,12,3.859475732205947,5.845162763549746,5.870974778506269,5.19,3.39885607289895,4.176337372332688,0.813,0.506
118,16,12,18,15,17,78,14,23,17,14,12,20,13,15,1.7248685520367064,1.0,3.722259689880371,2.15,3.167334630093645,2.3390269538689905,0.133,0.817
119,16,13,15,18,18,80,25,22,19,14,5,19,23,22,3.471149513556118,4.161322963706746,2.8872820646636392,3.51,3.7348209215576924,3.670852886556353,0.233,0.861
120,19,18,19,17,17,90,24,25,21,22,15,26,25,22,3.5858918729292495,3.924044264993433,5.177162639006029,4.23,3.324673363993938,2.8514515453901392,0.453,0.616
121,15,9,13,18,17,72,23,12,22,15,25,18,16,10,2.6900515493664043,3.624362403807863,2.903764517815228,3.07,3.172479175824333,3.090181617390638,0.517,0.013
122,8,12,14,8,16,58,11,22,21,10,19,20,10,14,3.6707832639117512,5.025983016818522,3.688532136521922,4.13,1.9260832723949555,3.4749958445836944,0.764,0.695
123,10,12,17,17,17,73,23,30,20,20,15,19,20,6,4.886608669312457,2.9638259248874137,4.065562588282122,3.97,2.6060628403090362,2.4171624803507474,0.447,0.418
124,17,15,16,18,16,82,13,29,13,13,14,24,17,17,4.512267645119758,5.13001398511774,4.067724298000925,4.57,3.988541461926123,3.540089519133076,0.79,0.566
125,19,17,19,25,21,101,24,32,26,24,16,22,22,27,4.929070986583027,5.513145806687135,5.814371743470008,5.42,4.68435786640809,4.35144792581415,0.618,0.649
126,16,15,17,16,20,84,30,18,15,21,18,15,21,12,3.0654901810688986,5.476379692186876,4.201793412018204,4.25,3.11395554691095,2.0636806549131155,0.113,0.35
127,20,23,22,22,17,104,17,22,19,17,11,28,12,15,4.526723258914359,3.8726608940038,4.0488969631805105,4.15,3.765053560236503,4.427463880033364,0.156,0.917
128,25,23,23,19,17,107,21,27,15,24,20,26,25,25,7.0,3.4088261170247978,4.317325008358342,4.91,4.336117924160183,4.766688325730388,0.437,0.134
129,14,19,18,18,16,85,19,25,17,17,18,17,19,8,4.0769257601065485,5.528439217749382,4.29453424449034,4.63,2.811480795727449,2.472866895883352,0.397,0.672
130,18,12,21,15,23,89,18,25,22,21,18,20,15,15,5.662017938576206,4.321297763909603,5.587240288653913,5.19,3.2761902775600618,1.023313473135623,0.744,0.004
131,7,13,12,16,16,64,7,10,18,16,17,16,17,14,3.7062242870095625,2.0281721467338505,4.590842796102086,3.44,2.8758432687810185,3.635314902977178,0.581,0.925
132,17,15,16,17,16,81,20,30,19,13,16,20,18,14,4.284318499086032,3.3914329349132073,5.012774795420379,4.23,4.343405677349832,2.7522699162539768,0.388,0.113
133,18,18,21,16,18,91,15,23,24,15,18,23,10,16,5.928686418600119,4.401126070326776,4.930619400308593,5.09,3.5163632168761185,5.039695195034031,0.171,0.095
134,14,15,24,18,15,86,20,19,18,23,18,25,25,19,5.6938826955939446,5.211066907231543,4.416706470772468,5.11,3.9130534221981303,3.4697580666322936,0.227,0.333
135,17,9,15,7,14,62,15,11,15,14,14,24,12,19,3.241655708708943,1.942800150125716,2.11819882416125,2.43,3.0121879115591517,2.7117535465475577,0.576,0.374
136,19,10,19,20,18,86,28,8,22,16,13,25,21,19,3.0864906409628814,1.0,4.57637645350379,2.89,4.024313944363991,1.9043606474959398,0.423,0.214
137,19,14,14,12,14,73,17,25,20,12,16,17,19,16,4.0668442523457875,4.058573684567699,4.251200802941968,4.13,5.633455258819147,4.678877859889738,0.515,0.585
138,16,13,12,15,14,70,18,20,12,16,22,19,12,18,4.351293837725694,2.2993476802504285,4.5092570359407755,3.72,2.806208943846305,2.9519284992498513,0.171,0.443
139,17,16,15,18,16,82,24,15,19,24,11,12,20,16,5.424187342329713,1.7030889900844581,3.4234804749491485,3.52,3.2421876081321765,3.3669481362249583,0.663,0.034
140,19,15,15,16,18,83,15,14,21,12,10,19,16,20,4.286474497236069,1.0,3.8425910719698395,3.04,3.589685296524332,4.090703143151373,0.853,0.32
141,20,20,15,16,14,85,22,23,15,16,16,25,21,16,5.733135131616957,4.926502932370893,3.1611707572860896,4.61,4.4465563252670695,3.042300630809376,0.258,0.81
142,10,10,22,15,15,72,22,27,21,24,16,22,7,12,5.336503742962257,3.9567467917158154,4.502398112973109,4.6,3.128680190687804,3.385820585348321,0.492,0.69
143,16,14,14,16,17,77,12,19,17,15,16,12,17,12,4.552274042660635,3.649132393433636,5.401709603816702,4.53,1.0,3.1919673683895238,0.976,0.725
144,13,14,14,14,13,68,19,12,16,17,16,13,13,15,4.474938407218634,5.377699243928707,3.1412480841642254,4.33,5.0576089409119405,4.368365798390594,0.333,0.698
145,15,15,16,12,19,77,20,20,18,12,15,13,17,12,2.5954245690491495,4.1987667108912285,5.656085584457934,4.15,3.985779216949986,3.598981679140582,0.595,0.311
146,16,16,20,15,16,83,23,20,17,19,21,17,19,11,1.5138886372440652,5.784616975600464,4.267513226797255,3.86,1.9594067756189075,3.0925405620361777,0.09,0.1
147,13,12,20,13,19,77,12,6,15,17,9,19,12,16,4.254421044157418,1.8321648161136777,4.588154062413544,3.56,2.735098894829916,3.050987632419338,0.606,0.272
148,14,13,13,19,16,75,12,19,12,19,12,9,16,16,3.8708027242045056,4.266951329792651,3.9210733873638186,4.02,4.986408477480244,2.9348619130726936,0.09,0.832
149,22,17,24,18,22,103,25,21,26,24,15,24,18,23,4.015944705722494,2.1953252168901796,6.066128295422237,4.09,4.351833391912404,1.1120501510007252,0.959,0.98
150,20,19,18,15,16,88,23,28,14,27,9,23,13,16,5.16355118389996,3.5168833885876647,4.476597491334223,4.39,4.410887141882809,3.589196031208248,0.716,0.494
151,23,18,19,17,20,97,24,34,16,19,15,16,22,22,4.673262891908,3.7485938322442918,7.0,5.14,3.042112056134237,4.839841251971219,0.788,0.01
152,9,10,11,11,8,49,17,24,5,15,22,20,13,15,4.769638577598258,4.057935333536783,1.7194897257034882,3.52,4.328017345670238,3.3001348790436955,0.704,0.14
153,15,14,19,24,16,88,15,19,15,18,16,22,9,18,4.224532935047829,5.003740788524423,4.675776668929124,4.63,3.433100821165576,2.517702047237143,0.59,0.322
154,14,14,20,22,15,85,19,14,12,16,16,25,19,12,3.2996660728567777,5.458377072806951,3.39994632586271,4.05,4.671637236651128,2.5283192326776893,0.45,0.579
155,16,11,15,18,13,73,21,33,21,17,10,14,14,17,4.769703196502451,5.046027000570055,2.6634564689928535,4.16,3.0143652601411044,4.4112692692976685,0.858,0.075
156,20,19,20,20,22,101,18,25,24,16,13,25,12,20,4.652107145187305,7.0,5.282464778495262,5.64,2.2916185312170394,3.1145157645823343,0.957,0.943
157,16,13,17,16,19,81,28,20,16,17,14,14,12,16,4.560661738272856,3.5389941246826186,4.85883680240251,4.32,4.2141150372206955,2.819991407624049,0.499,0.365
158,15,14,13,14,10,66,21,20,22,20,14,19,17,6,3.5988894025980267,2.5148415505933404,6.004873093560955,4.04,4.036756484052914,3.0400972567630347,0.932,0.913
159,17,17,18,18,13,83,14,24,19,13,21,20,24,18,3.866013379618347,4.484087009707459,3.372282051152941,3.91,5.075232567781656,3.7539876235501386,0.583,0.781
160,17,10,14,17,12,70,23,17,14,20,18,19,19,27,3.610979990985153,3.0683235651725704,2.201222267143971,2.96,3.2885817739967482,2.1434793146551776,0.538,0.755
161,13,13,17,13,14,70,13,16,7,22,11,13,13,13,3.990323125795405,5.364216325663775,4.0375656541162055,4.46,3.677553850949902,3.694872595823234,0.454,0.607
162,20,14,15,16,17,82,25,17,26,15,16,13,19,15,4.661651911036625,3.578408141256188,2.185731108714595,3.48,2.6221113023845906,4.115272108705227,0.209,0.627
163,16,11,19,21,17,84,25,18,13,9,17,23,18,18,3.3721212453596654,3.869838294714451,4.236953063082982,3.83,3.4721028636125735,1.9083848330357476,0.004,0.638
